""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-41"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-01"	0	0.608520342898864	0.820611621458515	0.653494412607942	0.599122059175334	0.763802552484352	0.362435140267304	0.763477608112113	0.638645977571	0.332274998160617	0.745316897618946	0.637990796258342	0.709347979160457	0.423052527080703	0.679635582229447	0.778327692658727	0.769494764150462	0.629289724312111	0.397058767442781	0.494644660232032	0.625541447002346	0.395718097781219	0.766873627729938	0.649449329378825	0.316585942163027	0.646065498960533	0.717652747528546	0.628500092839609	0.635381518792106	0.767342804455606	0.372770640882578	0.592892614799637	0.342900260217815	0.594237043174827	0.647209813084479	0.685615836609678	0.374629396491845	0.717812714353472	0.730062097472822	0.596673842656326	0.671529586628369	0.526009735841216	0.366381282983202	0.591363723441138	0.707181297421435	0.351697786607588	0.734847221994254	0.607107464759935	0.395841546004816	0.580010774928212	0.754931013831905	0.636979364166453	0.751827861642481	0.549857644593868	0.632081280579783	0.348342460241836	0.342233632452755	0.614324631989935	0.631138668022252	0.635045232923892	0.361380614370659	0.616700363099701	0.719330774305976	0.802379494190743	0.801169629106858	0.350422994587607	0.602777380656276	0.527637310604255	0.352154275702191	0.773933460361335	0.598511625361669
"AqFl2-02"	0.608520342898864	0	0.566359683930568	0.587523557187164	0.666527238417692	0.492193469475574	0.68953115173394	0.441783101901042	0.341585732195797	0.631963861467822	0.450166463815261	0.677395462809944	0.399293272111107	0.579230908599777	0.574362876310162	0.493153050484131	0.508903354936864	0.658391346821829	0.692534371831719	0.434188333205393	0.463769234913872	0.611748840212256	0.463928559434419	0.604657441650747	0.661525615275032	0.33793187843225	0.466059323807841	0.711863473413549	0.700106092912431	0.441410589594827	0.672734789327596	0.34864444489192	0.671562541027621	0.447072198234444	0.629752158846336	0.482436238642563	0.609609364942114	0.39278607932215	0.463895481132684	0.632799445594222	0.401715537951752	0.682049609277698	0.681456224227455	0.345432873599112	0.403077543406396	0.689987515252005	0.525938422411788	0.704757884015944	0.674361564091495	0.454925018653482	0.483202034587301	0.642802623425046	0.458202892419604	0.644747088560347	0.311972642085082	0.706253394457735	0.696510476813144	0.399201989021514	0.645956062448742	0.350864426638784	0.631376891509896	0.65709099752038	0.436939480640396	0.496505833998023	0.532851830188731	0.615293949450042	0.378543757162399	0.430414868331636	0.679580010512155	0.53692167225446	0.599669151864786
"AqFl2-03"	0.820611621458515	0.566359683930568	0	0.644142559153209	0.767266320967477	0.420643561463437	0.821386440506425	0.324090045465771	0.546721042395642	0.816112530401074	0.347379706922587	0.763662849829174	0.509100782229096	0.759864895613525	0.559083885544512	0.396094039621152	0.345230857969069	0.745981640093663	0.841504551700248	0.645709109514747	0.651068913338382	0.793780132472678	0.302575064274345	0.690297098611584	0.824537049909958	0.599808476685271	0.476611201016634	0.807120281764171	0.722138287463441	0.301702906589127	0.817738035522953	0.578005285961149	0.811587792569067	0.649268293240228	0.640621431750328	0.496462973790465	0.769223720848642	0.496786590828407	0.381268974134326	0.755592049188771	0.460151044174656	0.82306954433638	0.839685362778982	0.586615587985519	0.549434974814711	0.818592127767094	0.396234711115656	0.76494801533491	0.808574215500956	0.61299331964956	0.420233583887738	0.727947170878838	0.29565975053646	0.7573874047765	0.543306669962811	0.846294027762719	0.83071251349981	0.577269156955436	0.725893273630188	0.531424603279042	0.800683963352605	0.752946649834093	0.40882452352375	0.207491201573635	0.354446775963876	0.785600464156938	0.556469159982753	0.636256037696368	0.834025362880038	0.316062764615862	0.709949515373569
"AqFl2-04"	0.653494412607942	0.587523557187164	0.644142559153209	0	0.49323237665771	0.642595224742252	0.664586213674367	0.606878717688579	0.617699783779042	0.634464689875878	0.60766769475777	0.499923160987563	0.621352547922944	0.624407458599375	0.449573280984004	0.658010926886036	0.657285720204642	0.497993266781976	0.692758758643523	0.58099258723392	0.641891223530779	0.676333829078552	0.569164214579448	0.407010124787336	0.67265836971287	0.584886085226199	0.626472706805311	0.50380186450758	0.46943400918461	0.577395419550149	0.658333760966297	0.549532179538935	0.642244793388814	0.647871621063255	0.477258272142078	0.58215407974484	0.600619551687204	0.593535569718389	0.558775294402571	0.5166810815911	0.530665821874879	0.591494367385068	0.682854682306691	0.591059185354494	0.631742684674354	0.653456196848101	0.551688389007468	0.4758148224318	0.628076535320336	0.534152321230927	0.615185308280039	0.488988730192851	0.567319462845483	0.521236667860581	0.559631295305474	0.672841863217989	0.657795737240974	0.559696646363081	0.430770086506682	0.558301119113079	0.616709550467821	0.458256636077828	0.52274927476286	0.608429555551148	0.616990411869858	0.652871175322557	0.550873721448972	0.590422588944679	0.682540919806719	0.616836779977371	0.400951482698777
"AqFl2-05"	0.599122059175334	0.666527238417692	0.767266320967477	0.49323237665771	0	0.703995219143101	0.634157062593875	0.737043097869654	0.670433551104992	0.591396468424661	0.676566410800012	0.427825420408804	0.704975998149732	0.580763086270832	0.518891746910993	0.714789325395444	0.707999623733696	0.407469683043335	0.599691468692709	0.62459450546396	0.691976342809971	0.661651462351475	0.684830409457898	0.39748765229277	0.618909211889829	0.68043729253843	0.658890249537013	0.439076884598188	0.409915748321338	0.703384851933826	0.625201976737805	0.653965321457682	0.600209182495711	0.671929501101084	0.519137006180866	0.638973814143328	0.595512443722966	0.720438873742251	0.67337937863002	0.482739321333405	0.627832901665008	0.501300537123865	0.621517141270942	0.661855381152963	0.717606347280875	0.600775179173943	0.666688136694303	0.445469032054171	0.595965404013605	0.559503991029689	0.682081000544606	0.423888087910773	0.684588742468686	0.429071294692694	0.629674439830452	0.604325929672552	0.61563863407393	0.631377034675111	0.44711813278138	0.663750739540659	0.608305304008618	0.429788108394807	0.645559394903007	0.74255668725875	0.746068147882936	0.622594488431185	0.669345513447046	0.599713167991007	0.61438385214013	0.73958313701566	0.470684081099806
"AqFl2-06"	0.763802552484352	0.492193469475574	0.420643561463437	0.642595224742252	0.703995219143101	0	0.78565210743428	0.475637305387112	0.463968259787393	0.765059308722423	0.324970884978068	0.712312364800904	0.443458881522161	0.720879906118644	0.608269084128681	0.358395766497381	0.286247779106457	0.709900112482178	0.797015281878658	0.620028866266272	0.595018594138991	0.755072283265277	0.422315351053781	0.645903067082087	0.775493201733142	0.535486731938653	0.441269806034016	0.761538323789748	0.739230700951174	0.385953900592935	0.783582682594684	0.541456590938571	0.765604466265328	0.479810856140107	0.66055016117036	0.44871989768948	0.735060238783092	0.522770413655303	0.445229592063085	0.716620531093946	0.450653106499674	0.7726469233633	0.788431197832574	0.563428986928825	0.482205969804444	0.786097954889589	0.522425242762744	0.752888429927714	0.784021112984159	0.519982265696864	0.232547629833899	0.678556536714725	0.391737051307449	0.717624838639445	0.466729332997258	0.80296313957782	0.799451181055466	0.506268284212758	0.685276314355861	0.52039622775841	0.765418026836972	0.713304157115147	0.423242646115992	0.425914070434724	0.508379729501727	0.77136032079175	0.566218644714596	0.596398071705761	0.781881078345112	0.528068196663174	0.667239515564122
"AqFl2-07"	0.362435140267304	0.68953115173394	0.821386440506425	0.664586213674367	0.634157062593875	0.78565210743428	0	0.748530376401325	0.654985528277243	0.353990008291875	0.783712806183239	0.689598516536197	0.745399119018159	0.394173736929662	0.706919840533758	0.817409675581669	0.802793761539491	0.656998110400057	0.355498822901391	0.531277883138224	0.678169842746203	0.38923798008279	0.80365084000519	0.687621191243178	0.279537166230915	0.691002006672936	0.734135649570103	0.665797476154293	0.637770762374537	0.80543545971153	0.309396044813544	0.648003031189883	0.308659957439899	0.625072476770807	0.679575405029745	0.721789734978938	0.371009195658511	0.734908839730821	0.76761785665345	0.613580200168498	0.738770583601537	0.571985683748831	0.372647129441882	0.601646900660866	0.737873549425295	0.357828941426489	0.743012460165076	0.613515431992506	0.344382377528195	0.607667445030499	0.78332149728978	0.660586751428454	0.795202430341153	0.589598237959797	0.658890352551035	0.351506228710073	0.299353367254302	0.635474922501322	0.657852441195324	0.633179390149099	0.36690593047855	0.660231142851606	0.758685852929118	0.806015183757326	0.809527380351181	0.327959325362158	0.613737872868739	0.548312131922901	0.320793436113063	0.79036181106863	0.66231638464063
"AqFl2-08"	0.763477608112113	0.441783101901042	0.324090045465771	0.606878717688579	0.737043097869654	0.475637305387112	0.748530376401325	0	0.423350975948994	0.754723458831059	0.335756299413957	0.728755372922265	0.372638273618201	0.679671962155345	0.553689364844943	0.400418215712214	0.419489739725388	0.672377929025091	0.782401873057739	0.515455379467388	0.503642377305377	0.710128368482983	0.334300936121433	0.651681829262851	0.758561269652863	0.451006965830335	0.453540463956661	0.768490787985177	0.706390136550471	0.332911157439993	0.76763444683071	0.452426667080706	0.756905893382662	0.562321124572114	0.637551184304159	0.367306686314051	0.700234189023749	0.379054721218148	0.318699038455161	0.697347668814121	0.454906822144305	0.764801223560866	0.786312498820951	0.444504893266276	0.459523531644026	0.771812510067318	0.347460024710327	0.718663741385019	0.744582980933853	0.551042770009548	0.392972079541169	0.692610649861753	0.326971839760337	0.703495316281244	0.434200638259439	0.791187023223109	0.767460501580803	0.430841717029801	0.691779457685805	0.392226944550129	0.734226890465645	0.71283082020176	0.385550461591085	0.20913701296256	0.282951968762647	0.7286150501905	0.45413048146935	0.560839997378607	0.77204878779066	0.39627903627245	0.653066587143004
"AqFl2-09"	0.638645977571	0.341585732195797	0.546721042395642	0.617699783779042	0.670433551104992	0.463968259787393	0.654985528277243	0.423350975948994	0	0.637125140695586	0.459883698145519	0.69697885622361	0.38799202128071	0.563274226911335	0.573824099941972	0.467339539984951	0.436142010954361	0.647096090004932	0.663626467696011	0.395406172620796	0.478340909409259	0.602394604457946	0.500370891606702	0.62487194067448	0.636121077335623	0.37037357762703	0.415621693199228	0.716565988864416	0.688441446852376	0.483963504597385	0.619665945131372	0.328307348233197	0.643304358783281	0.436597130728807	0.619480621977531	0.440009596474941	0.591308108494608	0.447002238732146	0.499253281174651	0.634514327632509	0.42188719938919	0.666819577281555	0.669398407270492	0.322646944474437	0.429044307016503	0.648747509892579	0.522717572316177	0.692216541193363	0.643489573786205	0.465919272684224	0.460694114522963	0.657892390344482	0.495535433368479	0.610183780095394	0.363448513299872	0.683105201616284	0.669047464979367	0.33729043023338	0.658343801751576	0.316795773243344	0.628486801468539	0.679401104006194	0.475625990287292	0.533593051089391	0.550866746596991	0.610549578798182	0.445839354128864	0.377449909994159	0.652455422429023	0.52075652422416	0.621540684569048
"AqFl2-10"	0.332274998160617	0.631963861467822	0.816112530401074	0.634464689875878	0.591396468424661	0.765059308722423	0.353990008291875	0.754723458831059	0.637125140695586	0	0.752239933961376	0.649450905649937	0.719746017727494	0.480404983013366	0.674876081123988	0.781057949517479	0.767889185785765	0.610737875862392	0.357220761040032	0.524636780630148	0.685313759994176	0.454309379887008	0.758765267849742	0.625740156108263	0.336384251333159	0.664112154659559	0.716957234187369	0.651658814717255	0.614368804979123	0.772409988679681	0.371866194425783	0.619754232704654	0.29031410048331	0.617598950381991	0.64507827435602	0.678933514344475	0.389116903777578	0.727450241406103	0.73734282451293	0.570859850545498	0.706427008037972	0.538655008554021	0.373288914069965	0.580341843671353	0.721192192932982	0.322968113892551	0.735242315219328	0.595736264353402	0.373672277855419	0.585238685188891	0.75681330109651	0.624295850345804	0.759042171522265	0.525451228738356	0.639643041111088	0.351436575850627	0.336663211149357	0.610601111764244	0.619905317722792	0.631113605922188	0.392089360732401	0.611213212355473	0.727328535413372	0.802400453228258	0.798476800303209	0.327863598689564	0.624932186073437	0.546689108664928	0.310142301419681	0.772298837042669	0.607043378475429
"AqFl2-11"	0.745316897618946	0.450166463815261	0.347379706922587	0.60766769475777	0.676566410800012	0.324970884978068	0.783712806183239	0.335756299413957	0.459883698145519	0.752239933961376	0	0.69883881483324	0.369414822680989	0.690373746695192	0.501710805770167	0.21357362940953	0.229259030883539	0.68682404140247	0.779927967096507	0.584399853965337	0.555803816339281	0.736733011110681	0.221385336155802	0.6097480088265	0.756151080630779	0.471415575309891	0.396792523370192	0.740950922552903	0.720727306488521	0.221095549391649	0.76503559225135	0.49163593992917	0.754377637916469	0.551598655139625	0.594226152905018	0.342648295038168	0.718101022519626	0.469824894827092	0.265514491360926	0.700643933824899	0.379466865783806	0.762452165548741	0.767986765648229	0.518515192983538	0.520572706343508	0.76945724321419	0.406987940509329	0.737539354773568	0.765431264787205	0.457802728986637	0.23250687981281	0.632518649148871	0.214289229048416	0.702286920552814	0.407834155748877	0.788769616325152	0.779861106953693	0.447846073741536	0.638999766314116	0.436092059881407	0.742458291425309	0.68772125488937	0.305690871076625	0.254030603879718	0.337203210622342	0.751100536699482	0.527839269730113	0.55542418292797	0.769486713028458	0.413671112088576	0.634582184812614
"AqFl2-12"	0.637990796258342	0.677395462809944	0.763662849829174	0.499923160987563	0.427825420408804	0.712312364800904	0.689598516536197	0.728755372922265	0.69697885622361	0.649450905649937	0.69883881483324	0	0.701884492398445	0.648169411729969	0.505572882281399	0.734237800834652	0.728293231230728	0.447311692232748	0.634918722834271	0.622058478644725	0.69703624065649	0.674342508094804	0.669013967284046	0.415146374029071	0.673024680194964	0.687590843050598	0.6752346079318	0.47394170264214	0.466430861496022	0.697135091089707	0.649139142079887	0.653194317812104	0.665514327825348	0.706246978583801	0.514219892728994	0.656271224288261	0.619430464443923	0.71694664280103	0.654898033230591	0.457429127695926	0.627754799966805	0.497589166982979	0.676071299497199	0.66834546900533	0.717432240166236	0.648256618465817	0.654336212890884	0.451655019467595	0.662760308738171	0.606975926562491	0.696612068024364	0.492952006562005	0.672106965158071	0.531640658689507	0.668304690581775	0.636855362262753	0.666479364486791	0.670642996310289	0.472227570980065	0.694068495794158	0.636005886080326	0.423892592146841	0.646785380717883	0.735504583692719	0.738573386003095	0.684427094999357	0.668848252407127	0.629704540473438	0.647889266556976	0.720649909693686	0.449312522796336
"AqFl2-13"	0.709347979160457	0.399293272111107	0.509100782229096	0.621352547922944	0.704975998149732	0.443458881522161	0.745399119018159	0.372638273618201	0.38799202128071	0.719746017727494	0.369414822680989	0.701884492398445	0	0.640524798930705	0.581932696677859	0.374793804376221	0.484403524867946	0.693112285162712	0.749244039391453	0.478800439637055	0.386586802879358	0.655978629353794	0.399099856600164	0.614481379935326	0.721599813399317	0.255582318643363	0.496383635638047	0.734407332620132	0.712309905167432	0.360883568249305	0.73212455936686	0.359665333021578	0.722088470103372	0.442994306177613	0.620282146120422	0.461996236410046	0.676868237167255	0.283263683552952	0.397641373289428	0.665125911662613	0.351806353825787	0.723095914652137	0.7378928331837	0.406403688856764	0.317058861978751	0.740010952421875	0.50223736763899	0.733094709493758	0.731858526180821	0.496719201684697	0.460650356230524	0.677083103346252	0.393008185704751	0.667231639036024	0.354516013737673	0.759329238195607	0.75552027629275	0.41634384107017	0.691256604734178	0.4055377092507	0.702291016098541	0.678240354650798	0.402785058801038	0.415849047106793	0.349944013000233	0.714796191674699	0.419760574253767	0.499826991881585	0.737441384478494	0.479504490434854	0.626093584118807
"AqFl2-14"	0.423052527080703	0.579230908599777	0.759864895613525	0.624407458599375	0.580763086270832	0.720879906118644	0.394173736929662	0.679671962155345	0.563274226911335	0.480404983013366	0.690373746695192	0.648169411729969	0.640524798930705	0	0.643208734682557	0.740471469109591	0.72838501983008	0.604993203665022	0.444475063160304	0.443205487970113	0.533565260257681	0.35506327640953	0.72296186108337	0.629781017165933	0.4385653380774	0.572601612409179	0.654490223757224	0.621909861531733	0.635027548514222	0.720299221649376	0.42856257874694	0.546134334795359	0.452321958244055	0.522801053516071	0.64788761737849	0.662343981131444	0.416573454605176	0.623534478002255	0.669012444705553	0.62981064357048	0.62260482014358	0.557278282946489	0.438415138383416	0.510461317778388	0.655433211017792	0.488108579832957	0.659389094892531	0.602462868653871	0.417761251006447	0.475792674594001	0.704671704692254	0.615757428967724	0.708802249881597	0.564839050917791	0.53223214346972	0.478077863469994	0.434802771519474	0.562204163445831	0.621098722529357	0.522196566995466	0.373854116746672	0.639211336154709	0.674857079525713	0.728652017848936	0.726870282259065	0.443115471478304	0.465567864810342	0.444027197996946	0.439980805897551	0.710806234103921	0.595056096813499
"AqFl2-15"	0.679635582229447	0.574362876310162	0.559083885544512	0.449573280984004	0.518891746910993	0.608269084128681	0.706919840533758	0.553689364844943	0.573824099941972	0.674876081123988	0.501710805770167	0.505572882281399	0.581932696677859	0.643208734682557	0	0.557363520153921	0.526996258396519	0.523583287487696	0.701340927228569	0.549818568167839	0.627951178132787	0.711326043392992	0.450067607810378	0.432555275856088	0.700696646341245	0.563920836427858	0.513819981329916	0.556236676153636	0.52581416029301	0.524050108952637	0.667628319376087	0.580615694968323	0.686288947443119	0.654456883270437	0.456855668788061	0.561257247800998	0.636635109311911	0.61204210652113	0.500950383285997	0.584291498988014	0.495857219727252	0.653128278112866	0.718778796524837	0.561201364837465	0.60582662184881	0.683128209682928	0.528730301428839	0.59123488489732	0.677951113697771	0.51899840843736	0.522886485485637	0.494650363647959	0.477075987194032	0.565231988358176	0.559566406937966	0.713303197663536	0.715643296858384	0.572891917896747	0.535123215987065	0.566521120967852	0.673335351924502	0.467669419165078	0.479455388652272	0.551566265429746	0.579334607304102	0.690585565880767	0.582531986713	0.539793743382726	0.700845794588598	0.562097385866265	0.457687752885633
"AqFl2-16"	0.778327692658727	0.493153050484131	0.396094039621152	0.658010926886036	0.714789325395444	0.358395766497381	0.817409675581669	0.400418215712214	0.467339539984951	0.781057949517479	0.21357362940953	0.734237800834652	0.374793804376221	0.740471469109591	0.557363520153921	0	0.236468592857049	0.728042278393706	0.8081955502458	0.619618243453649	0.545163196017519	0.74037626002196	0.235557271624729	0.654084807174853	0.789875259721041	0.478117755382202	0.411269927555565	0.747420177965588	0.75660002479232	0.265755534781587	0.795224830883683	0.533984074566683	0.789741079993413	0.551118316899487	0.640751295836658	0.417036914900427	0.752582957810779	0.428841143451516	0.346284650070651	0.739040796519632	0.411263370809823	0.790869543016866	0.799550019897145	0.558364298627313	0.510221767899091	0.798945432829128	0.468500308634212	0.773924779338973	0.794419707772912	0.519120432457569	0.245542267258631	0.673814642911302	0.262503360477401	0.734688691823674	0.46910898081701	0.816324653560867	0.817285735950922	0.510531650251703	0.69695229958694	0.506842896228625	0.777596772159098	0.725036872368951	0.350372666720739	0.275770495196815	0.301557512690795	0.781616928148146	0.593884110579977	0.606013415244466	0.799762651210255	0.455489981230876	0.67578775224183
"AqFl2-17"	0.769494764150462	0.508903354936864	0.345230857969069	0.657285720204642	0.707999623733696	0.286247779106457	0.802793761539491	0.419489739725388	0.436142010954361	0.767889185785765	0.229259030883539	0.728293231230728	0.484403524867946	0.72838501983008	0.526996258396519	0.236468592857049	0	0.713704034879887	0.794381700093148	0.611126565126807	0.61224879884939	0.760987503566579	0.29956413218808	0.653659003604566	0.77316890491502	0.560980001784983	0.393810575329956	0.768979638860973	0.726203150911203	0.313749742374438	0.767926901619719	0.544450925750675	0.773682887690118	0.534334733816153	0.607472776892466	0.41293864504906	0.738273019358896	0.535207860533803	0.377981936357374	0.726887366187558	0.435341577873948	0.778079309380264	0.790852671435388	0.554014256959371	0.589846171600002	0.773542805739807	0.46665969932121	0.75941998942644	0.78040999873409	0.527549913169483	0.162558619884404	0.672123930514767	0.320096035121967	0.709206479913927	0.481273728762909	0.802432012401088	0.796217579187041	0.499094773142542	0.676449242856211	0.48514787753846	0.768309610243085	0.719987966909166	0.389874121588575	0.342981775829095	0.446765987303076	0.756867587852526	0.594139341101294	0.567077812010144	0.785037513033586	0.414643912226348	0.67423983439342
