""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-41"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-60"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-01"	0	2.04413087647243	3.2909658490329	2.92404025247951	2.71869810320528	3.66541430536448	2.64659678651293	3.1452125227428	2.1773130068621	0.499623440326226	3.02374531829378	2.25912760749483	3.60774767750933	3.02062952161199	2.92970060747262	3.8019948968559	3.20763510871032	2.39949510886722	0.0963047834314106	1.69316805464056	3.08572262423637	2.80395799628976	3.14781711442541	3.11644737648995	1.75067203578972	2.19432604597333	3.19454880226101	2.35779657096757	2.38422599539212	3.38965298155287	0.33093794217134	1.73825477656369	1.89735300032323	3.7950474889691	3.20625412164379	2.65542006165692	2.71069842496434	3.15611783535754	3.52015931601152	2.11771988377706	2.32722552233056	1.6843951820306	0.528840229987011	1.66088567455515	3.01197165006598	1.59000737591685	2.70722604608362	2.58534409312837	0.688495419499142	2.20202352540856	2.48071037717563	2.16802884139394	3.39670455318153	2.64793911739715	2.51483907623277	0.907488383571936	1.15787391022873	1.70146013638777	2.31422082854535	2.57811388008513	2.74465090456624	1.80767042028965	2.11774656125219	2.4980335539291	3.34024719802083	3.27635492798773	2.14147177473154	3.45789291576331	2.24888366287936	1.00711110880055	3.31112405052725	2.95013898399488
"AqFl2-02"	2.04413087647243	0	1.54003398608151	2.14136055698517	1.70661047790183	1.71634900878727	2.67880837884558	1.46571590144298	0.539518914411222	1.80233008044712	1.11465686259857	1.65743251405517	2.32592936895973	2.78404525508236	1.7573835912594	2.11884410927909	1.25094584418955	1.53501316079449	2.10740355968751	0.375038574730897	1.78578166931042	2.73617354862031	1.31483048864892	2.36504571144441	2.24383491504225	0.54020868081174	1.42291814846892	1.04100021338394	1.60784391157916	1.61257770240465	2.27108628232018	0.325183327673294	2.30270075101559	2.72342089663404	2.41098644163206	0.921352659157251	2.91521566515524	1.90161670164144	1.68019748801937	1.53693371281897	0.631751227091747	1.5522431069965	1.96152091033577	0.447879168338004	1.56890053586847	2.09499200310436	0.898309529994613	1.18401717336981	2.05855176886889	0.707777126984249	0.711302766312041	1.43048604410665	1.56346616320705	2.07932815459601	1.07015867209868	1.96409231605641	1.84903576952644	0.896375355582963	1.74464280672642	0.621881356459317	1.26521889334541	1.83173945707731	1.4821086534387	0.510408305115803	1.87406379844816	2.02924198442662	2.45857486028859	2.29073813261158	0.587891218948733	1.99816974801111	1.58698673320907	2.10772608903954
"AqFl2-03"	3.2909658490329	1.54003398608151	0	2.10674150687901	2.0598180766586	0.626333212755412	3.50025189306163	0.664787825256283	1.29722486061423	2.95100419539112	0.555679326535871	2.73968655425782	1.1898250084025	2.53356591731989	1.04546394298828	0.705323289815786	0.579298546259108	1.93754082364989	3.33198415493115	1.74411600895443	1.14895355212292	2.73829490066329	0.451103529219623	2.05710692279798	3.30000621095274	1.63395503459519	0.268499562160327	2.33159085013138	2.20890539851391	0.200557421413277	3.42839977749485	1.82664065810428	2.76043785424818	1.73327678356405	2.13742502368245	0.699888271206573	2.80052244814617	1.09672741373262	0.322108310269285	2.20926686739836	1.4186090915446	2.59239374113008	3.07002094388747	1.7183065867824	0.960935035366893	2.96310320301773	0.652605017904246	1.34054371939511	3.03631206013831	1.43434268367248	1.47167250917138	2.43963616017174	0.45126369033671	2.03338708276543	1.03983734100498	3.17893073043786	2.86944061788943	2.05520441431422	2.74937254820488	1.02333274129679	0.708567208242464	2.12423052323382	2.6380027771925	1.08502186713669	1.19350480778254	0.983720512053564	2.74197728687851	1.46246396652513	1.43231667619812	3.18860640535981	0.316643481144065	2.1541919183446
"AqFl2-04"	2.92404025247951	2.14136055698517	2.10674150687901	0	0.792907219697248	2.41306413698071	4.57635361691689	2.60005532081181	2.32368616889463	2.85891554796767	2.25920958272666	1.87983809547522	2.82423062849054	3.4896902640263	1.37694285614527	2.72178884278814	2.13928102106031	0.698826720117858	2.9772492557764	2.1757197019394	2.8564275635066	3.70737118292166	1.83481607716485	0.517970951047239	3.9709153975919	2.64004688422305	2.27866899461873	2.51431386118783	0.939523675551965	2.02481385237037	2.92416500198976	2.1767482972796	3.28877049614037	3.2756056605779	0.396250242386363	1.73506162034015	2.99979947959089	2.72959360224831	2.37916095693962	0.972219261351168	1.60761594078972	1.55501388440556	2.968476619953	2.12220176612814	2.72147381855486	3.57367384155171	2.03258862651111	1.03912996931195	2.51745348509692	1.44253783846529	1.72225019787862	1.59756908981928	1.91257583490009	0.576293101341712	2.43568479569505	3.39629050715665	3.25368631536116	2.82176679593561	1.74816310488515	1.89484388377737	2.19693992678349	2.05016466488282	1.91652885455954	1.99226277423749	3.10565556268127	2.42964349332389	3.27702800120308	3.14472741973983	2.55015525986873	3.46288272461477	2.37997671857533	0.247627490846907
"AqFl2-05"	2.71869810320528	1.70661047790183	2.0598180766586	0.792907219697248	0	2.21956281160369	4.30559875163552	2.49633205078779	2.04398666273068	2.69381324515491	2.02706804554123	1.17614840196149	3.00596966020274	3.71293595436929	1.67803316001246	2.75127545309732	1.87655674160633	0.42923031261663	2.79094492556631	1.80998825865541	2.8673027318118	3.8430861896237	1.67211426697709	1.27662427717524	3.71328130101597	2.23733288616991	2.18223201670774	1.81496335282085	0.369311234314033	1.97556199726316	2.7966807078376	1.7345761885401	3.3574372291937	3.49474132298931	1.1595374685324	1.55723691636306	3.3808230224832	2.8149503826079	2.28177767198249	0.633682252795537	1.11536674922865	1.14385434447053	2.833902140625	1.79453692543852	2.67741250085025	3.43728999757038	1.83091375706361	0.754233316602168	2.49158384850908	1.03337446205674	1.15930394169678	0.910203332725855	1.79303865757526	1.18790802668707	2.31191409657031	3.15351850485477	3.08995802657289	2.49574274057555	1.06226226221827	1.5128508189144	2.16918174697231	2.26321843414768	1.22178857405614	1.60541911983456	3.04407639977377	2.62257589109107	3.41720862628309	3.25359023568213	2.21697419198807	3.22498720754697	2.32792101619318	0.597452380632916
"AqFl2-06"	3.66541430536448	1.71634900878727	0.626333212755412	2.41306413698071	2.21956281160369	0	3.72749739059465	0.975274727345388	1.5814378316341	3.35354709131098	0.679145822165073	2.81626636800148	1.66116900678569	3.0830940647845	1.59703855647141	0.917561896186724	0.475399843204959	2.20925492618042	3.7165426065172	2.01152664769563	1.57973763554258	3.25063138388948	0.635992585948013	2.44317317686552	3.60024959040407	1.77075822355058	0.674544085177225	2.27825942468256	2.41212940705347	0.552445503012776	3.83799491256986	2.03553490162313	3.27677028096219	2.18544245616783	2.47168491580956	1.06202724588787	3.41865262575847	1.59530876419358	0.402691021590025	2.48226666870596	1.56619664758011	2.84820203707534	3.48773128276655	2.01894135191199	1.36456975024057	3.3587845090566	0.978886164314366	1.58429040256361	3.49262839606213	1.67073957375625	1.52519374280982	2.55914968546268	0.512189825829838	2.46771182279031	1.44956188202596	3.5257983812564	3.26390050740245	2.31592730096213	2.84170913300397	1.14787085657375	1.24079753521049	2.69523985737589	2.72503393138429	1.21883764013688	1.46333662553536	1.55462251221198	3.28885767412708	1.89453114323635	1.63290548641216	3.53575500792814	0.732137354396011	2.40412346624558
"AqFl2-07"	2.64659678651293	2.67880837884558	3.50025189306163	4.57635361691689	4.30559875163552	3.72749739059465	0	2.9199764936893	2.42496627152752	2.2933493856605	3.12551473019423	3.98245215363311	3.40988774180813	2.70645945652025	3.79134456413066	3.60719810800814	3.44395306495289	4.02823024394878	2.62856135304697	2.49772806463009	2.68636289493736	2.24154726726446	3.59102980618515	4.65424463230073	0.907025724833735	2.24266224154678	3.25364151920747	3.18317734883043	4.11891644743414	3.67856214827156	2.86777121577281	2.60288246174004	2.05253245060873	3.3728093608005	4.78393914353043	3.22334809353534	3.35750017282615	2.92287081974343	3.54087064956006	3.93383055488915	3.30330945892079	3.70989401448163	2.29717314369527	2.51270068050416	2.69330148959414	1.31430255223641	3.01878413270665	3.76322599148879	2.93514946140852	3.31372534364555	3.38301956802127	3.85403036812944	3.79406390864789	4.27963638917208	2.5019786406099	1.74213062109889	1.63484701486423	1.81321340210532	4.10645034918529	3.13315552654966	2.91067663371423	3.01937025723865	3.7806190173969	2.99730019891293	2.68993959976628	3.35579431173671	2.30906662507575	2.94231375085447	2.27960635816698	1.64552636296017	3.29465111212037	4.61424314121675
"AqFl2-08"	3.1452125227428	1.46571590144298	0.664787825256283	2.60005532081181	2.49633205078779	0.975274727345388	2.9199764936893	0	1.04803663054104	2.74698741866042	0.592056291409368	2.96474264104704	1.05030017176576	2.17699381049313	1.45474458794556	0.760556281601597	0.884621168229665	2.31913268637922	3.17692708863849	1.62071858902082	0.636400744766364	2.29930502684214	0.969293615657197	2.55951392409734	2.83192642991834	1.33884439753156	0.412670953788156	2.35166869562451	2.56848781588882	0.853643013645915	3.30966045149948	1.74041415549234	2.40278060191939	1.48117713766741	2.66611712899636	0.945160883177704	2.67335047849233	0.744979946341405	0.659467943377049	2.51791248336911	1.62071813088488	2.78311020829991	2.85531962856427	1.60176160052416	0.397623894081881	2.52975514277464	0.698436884114566	1.74631785603906	2.95974193299039	1.65013634727193	1.68326571044108	2.68175785948337	1.05547049118771	2.44127954425667	0.64460346884753	2.85749604898217	2.51650600428897	1.70283744117113	3.00740551998602	1.16041378666386	0.543552941450154	2.08970586919921	2.82628974521314	1.14067955928466	0.580693615731485	0.9572423719343	2.4096881571568	1.05836608920498	1.11095385295688	2.84761384885183	0.388630992748706	2.65322598335455
"AqFl2-09"	2.1773130068621	0.539518914411222	1.29722486061423	2.32368616889463	2.04398666273068	1.5814378316341	2.42496627152752	1.04803663054104	0	1.82671098835586	0.904600412308135	2.16812195470706	1.87183720475441	2.30711591741033	1.59652347369793	1.7636911528632	1.17043288169251	1.81523111627473	2.2209762798887	0.592741962156938	1.27011465126198	2.26970035810175	1.23548469771898	2.43655217424918	2.08790465585795	0.47559032272652	1.12238242006545	1.54946227340523	1.97605866022338	1.42792509629617	2.38267119195604	0.733281833190863	1.96621859240419	2.22768890692378	2.52595762865689	0.819814363978317	2.57682555197866	1.40961383947418	1.43551423140169	1.86957221085578	1.0002286592759	1.94722701890902	1.96142614730372	0.590194541798194	1.06954034296982	1.85445266063214	0.67123259625733	1.39189127591487	2.11488690965585	1.01492503834498	1.11126456368615	1.914772196207	1.47374765976497	2.15918765563143	0.554805167224157	1.94459373637526	1.70493056507192	0.76726183434429	2.24005468594733	0.750011319271819	0.848679054576218	1.64037546493084	1.99679682586149	0.630700845116643	1.37894001759491	1.60973984002182	2.09318480625559	1.77645186091143	0.263873327988349	1.9548351288396	1.25277322987711	2.34057328019684
"AqFl2-10"	0.499623440326226	1.80233008044712	2.95100419539112	2.85891554796767	2.69381324515491	3.35354709131098	2.2933493856605	2.74698741866042	1.82671098835586	0	2.69378333241784	2.38399744688365	3.17454395052884	2.54857916799906	2.63956017195919	3.41027000311758	2.91378631346619	2.34491657926392	0.484744668797568	1.43037254617875	2.63479199674942	2.32191713978203	2.86157654214788	2.99627813076496	1.42751795966201	1.88338369302676	2.83588065551778	2.31300739772038	2.39632428586266	3.06939173301456	0.665803144850771	1.53069389134017	1.43279168982714	3.3341270993551	3.11081291194762	2.36068391898085	2.34464361130785	2.71246561168801	3.17391024127617	2.12438633463707	2.15773445346483	1.79647900472028	0.171834895953336	1.38373281371752	2.57935442962008	1.14850386174014	2.3794632499075	2.42520580755867	0.682331564353327	2.03026861075078	2.32620458330175	2.23625846602271	3.10887407843235	2.5337854079694	2.10543706301323	0.643156640641056	0.708436136507992	1.33865803992526	2.44285099302233	2.32568129164282	2.35482121655425	1.47600779713176	2.22272934846503	2.23575943888572	2.89502576442809	2.86472524533786	1.68927564667378	2.99227219274744	1.90223799530782	0.72257188168203	2.93815604741701	2.90765295261844
"AqFl2-11"	3.02374531829378	1.11465686259857	0.555679326535871	2.25920958272666	2.02706804554123	0.679145822165073	3.12551473019423	0.592056291409368	0.904600412308135	2.69378333241784	0	2.47066230303199	1.53064508557911	2.63095497803445	1.38305175273657	1.06184055307649	0.348243057828199	1.91734190665956	3.07160684422029	1.37363339686171	1.18675996340639	2.73173331981569	0.53513006828714	2.31936994089265	2.93679450411729	1.13946594245419	0.397578866110453	1.87434447339723	2.12207989010228	0.649752254271012	3.20581153683932	1.42847179903645	2.65978052127629	2.01891271126925	2.3807762593536	0.57554429324095	2.96084398669068	1.26134732177742	0.580813052328957	2.12292376686804	1.13509248813899	2.40125813048799	2.82687125128276	1.37722878851542	0.930938152741458	2.69166305127293	0.357002850460524	1.3093387155338	2.87977189053037	1.21905947135561	1.15270968590702	2.20107547543811	0.691329977941306	2.21355633922405	0.82431195984629	2.84864522747155	2.58662938022665	1.64598166204699	2.51450565169889	0.650055651242267	0.729100071710379	2.15537296515543	2.34461550633542	0.666974756206726	1.15404992425297	1.33518616106844	2.7059142219967	1.62900562907335	0.972660746604854	2.85745697029154	0.568331311608301	2.26539032804018
"AqFl2-12"	2.25912760749483	1.65743251405517	2.73968655425782	1.87983809547522	1.17614840196149	2.81626636800148	3.98245215363311	2.96474264104704	2.16812195470706	2.38399744688365	2.47066230303199	0	3.69876060929783	4.12932855406346	2.56817832416685	3.43624886553036	2.39173351232534	1.27849240803726	2.35119735971295	1.70562749521513	3.33009724993328	4.1118215053314	2.3385685834197	2.35994848646613	3.33121865168915	2.13326301770543	2.75859300216486	1.19062512903418	0.945782086378676	2.70429999648254	2.41279948942655	1.53070792078702	3.45835539763748	4.14833124080716	2.27422240005242	2.09976883642826	3.86991158717412	3.3694597811346	2.91408936298644	1.04836172784544	1.35026853876162	0.818636748832324	2.53915737089477	1.74115452132968	3.11933838987313	3.24707860142134	2.2751025040915	1.53726273025769	2.3345037239727	1.36505871701794	1.32572176663063	0.340798250916808	2.52358272881772	2.11716022893067	2.63831278785228	2.72758454174581	2.84663908811419	2.2934162177501	0.182469513604968	1.82455189886732	2.68489524906052	2.64717406619212	0.202585223127107	1.84372340987048	3.46100508055205	3.32921235851207	3.61887130743438	3.79851362284729	2.24248370250969	2.81255685769652	2.93304563762981	1.70764304348171
"AqFl2-13"	3.60774767750933	2.32592936895973	1.1898250084025	2.82423062849054	3.00596966020274	1.66116900678569	3.40988774180813	1.05030017176576	1.87183720475441	3.17454395052884	1.53064508557911	3.69876060929783	0	1.69972292649505	1.4511800357321	0.831409692082182	1.72200322169868	2.76771948518975	3.6179439622519	2.37703464523038	0.766620138888047	2.03218727517063	1.62113805942094	2.58728197972523	3.33630416007833	2.26164493033715	1.16003411837612	3.29579653301636	3.09761602118919	1.33263835443844	3.6913134068791	2.5445205836489	2.4183289438432	0.555309329774821	2.75121314663972	1.63277499260829	2.2088232391759	0.524693432525989	1.26497651350857	3.00519770786512	2.3923185309438	3.35149545166107	3.24041595330504	2.31760950787088	0.902276815316913	2.87483931695164	1.52845886353854	2.2877611371147	3.25412598756957	2.33442765841225	2.50788477577335	3.37843218641848	1.61249655915205	2.53590110948829	1.33642612796823	3.36012996580638	2.92832071951863	2.43905870584021	3.70384968675707	2.02296857167062	1.06452037384726	2.10295432938793	3.57846299158389	2.03046715451889	0.959739929418353	0.418489989166827	2.28605666176858	0.544828904698808	2.00593166131532	3.34238004910079	1.00341220865453	2.95614006689106
"AqFl2-14"	3.02062952161199	2.78404525508236	2.53356591731989	3.4896902640263	3.71293595436929	3.0830940647845	2.70645945652025	2.17699381049313	2.30711591741033	2.54857916799906	2.63095497803445	4.12932855406346	1.69972292649505	0	2.33644589064905	2.44366271254229	2.92958804664038	3.33639628644249	2.98519065010916	2.5996293792433	1.57103618562809	0.522149440998605	2.83289358894	3.25658554129597	2.56653789528712	2.64535559730429	2.42316199434291	3.80589400375573	3.63733270015627	2.71106859398343	3.0258951327783	2.82372017786033	1.21750766530461	1.40618475331093	3.47245220314212	2.54059573925011	1.12337000700884	1.51136128077789	2.6967241997224	3.4123514665888	3.07387819274297	3.5451516469945	2.52280625679372	2.51432666370549	1.79070690271668	1.96685961578192	2.44784144531723	3.08032255388385	2.64844951681072	2.94336505636189	3.25746579957216	3.8325244329494	2.95014880178323	3.00033135743042	1.90169123152344	2.6575693447375	2.16564959606934	2.38266619797323	4.14711014603916	2.85619215132662	1.93726589717874	1.71043493071488	3.97878902098057	2.80094127617765	1.9003952761754	1.68374759105528	0.962440327337453	1.39524013054662	2.42916973625572	2.61347851291006	2.35325770321158	3.65920812548542
"AqFl2-15"	2.92970060747262	1.7573835912594	1.04546394298828	1.37694285614527	1.67803316001246	1.59703855647141	3.79134456413066	1.45474458794556	1.59652347369793	2.63956017195919	1.38305175273657	2.56817832416685	1.4511800357321	2.33644589064905	0	1.50653355507477	1.40609295327848	1.42160814019321	2.96099781381729	1.79726962709673	1.58227956363057	2.62057327861821	1.07525689616961	1.16970351484178	3.38056212862749	2.04442419859996	1.2024907750498	2.59433351244917	1.78532217615394	1.05372006415238	2.97271080552775	1.91237997629428	2.48907704967812	1.90195998881264	1.32696218467149	0.969102563918116	2.1700259609202	1.40324548487169	1.35983250819906	1.70408372672037	1.4939975384531	2.1717931341188	2.73433524244069	1.72115716252777	1.50189818616108	2.90617215961794	1.16856214071853	1.0915436997532	2.49480074274584	1.34386048027195	1.65431045550509	2.22891943023819	1.14434993879122	1.11606450772248	1.40095681001441	3.05050177901863	2.73614579613495	2.23922917993159	2.52162318631755	1.40498951163863	1.03761740489183	1.46809274622267	2.49707083384698	1.47585590006869	1.86605925132269	1.05604958920643	2.41500963820102	1.79376859785436	1.8416762917062	3.07908473340105	1.23167841723642	1.52565492684301
"AqFl2-16"	3.8019948968559	2.11884410927909	0.705323289815786	2.72178884278814	2.75127545309732	0.917561896186724	3.60719810800814	0.760556281601597	1.7636911528632	3.41027000311758	1.06184055307649	3.43624886553036	0.831409692082182	2.44366271254229	1.50653355507477	0	1.14428186943624	2.62060836602926	3.83206307688266	2.29802980127233	1.03689911322329	2.69195021838243	1.13355182559318	2.58543821825133	3.55949148392056	2.07145510781271	0.704707649031486	2.93525866924258	2.90660169438803	0.794017840454869	3.93492649599609	2.40607750941358	2.94465103588195	1.32263866294456	2.68801403528099	1.36750379455817	2.91358194886941	0.963668701690201	0.583107610614332	2.89464829467994	2.10093668163087	3.27057038358935	3.5114578979344	2.27042950646277	0.959990641085156	3.21057791023842	1.23773961590784	2.03871911981633	3.53384589162136	2.1195980860438	2.14672562789758	3.13905098547133	1.04320398610718	2.59849125690728	1.34726224679418	3.57453832851589	3.21009600177796	2.45342655370914	3.4511978987707	1.66626007650621	1.05955533942053	2.51029482548486	3.32771717562266	1.70030781891947	0.959517702615169	0.906772670093447	2.88244986908399	1.13325566459864	1.8519035721233	3.56625408200111	0.534662324585621	2.79365660571875
"AqFl2-17"	3.20763510871032	1.25094584418955	0.579298546259108	2.13928102106031	1.87655674160633	0.475399843204959	3.44395306495289	0.884621168229665	1.17043288169251	2.91378631346619	0.348243057828199	2.39173351232534	1.72200322169868	2.92958804664038	1.40609295327848	1.14428186943624	0	1.83436540565496	3.26187896092959	1.55053202270075	1.49191635058235	3.05530449618556	0.357904473495034	2.22689051383311	3.23426315492783	1.36805416350511	0.571158935147006	1.8601457821697	2.02321358916189	0.556975297723342	3.38606788772896	1.56691779572051	2.96392872500719	2.24315009957052	2.25804986638732	0.651779943305983	3.19469845869412	1.53090707606995	0.568936161516368	2.07340902038158	1.10528867230154	2.3999263400728	3.0538037891327	1.56063652655891	1.2460754850222	2.9999467464148	0.582112222836405	1.20752276363255	3.05765739691548	1.21558064858722	1.07821350139927	2.12920950347831	0.460566567060141	2.17733122807057	1.15449303214019	3.10123859106901	2.86599789939284	1.91016642935446	2.42471202600073	0.672585586361239	1.00071581873991	2.35309249531999	2.28777848983515	0.747041237536027	1.44917520430528	1.52147781062731	3.00512687515746	1.8974931789784	1.24081730461825	3.11793368245482	0.727803177477771	2.12176065664476
