""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-41"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-60"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-01"	0	31.5977123238823	39.3795710338595	40.7253329071724	38.3147582721091	45.031495754992	42.6633553552395	40.7026650210512	30.2292729393296	13.6152621231197	43.999730283694	33.1626223584255	44.3420410868171	34.0312687201469	40.2975678762952	49.8026529830991	42.298343949623	36.4424788228413	11.3917644913327	30.6837450629375	42.9166666988257	36.2885385471719	43.635577091987	45.8129312823171	30.7823181153206	36.3632769269655	38.2650820164508	34.235772377183	39.9451638192956	36.2877126720759	12.101881483149	32.438410188152	22.5091429691485	36.3361967472837	41.473840874265	37.4438280529701	28.654870292132	40.0319018763059	45.4991066340307	35.9979890224648	30.6003087830998	28.0238160676703	15.1723561617586	36.3242848816848	40.9579383852939	25.7933878284942	36.9413848340803	35.4898853854648	21.3513867084295	28.1027390338281	39.4357285201037	36.8051895219679	40.914726679942	36.3679811417638	36.97178721605	15.9188516367268	17.4586188570449	29.6738641484595	32.6238311565736	30.4734260930964	37.3144368012265	21.656704191424	33.473743679456	38.4187079262972	45.972051463832	41.4299724477261	27.7092862824393	41.6493959958562	28.6064984900724	16.7655635776349	39.2421157433773	39.5424369616935
"AqFl2-02"	31.5977123238823	0	37.475913835402	50.5219179604038	29.2010877360055	27.0192917767042	49.5566077708844	35.3043326638539	18.372795740121	35.7494327028191	24.8988852320698	32.1287912654571	34.6753628750867	38.5843852362695	37.1877197038477	35.2858305728998	28.9800232004605	44.711107688735	30.2129972228812	17.5450416020438	35.9202835776727	43.1485809759208	24.1917413800639	37.4436242222524	39.0419860173905	18.0105392006279	27.9994381762806	35.6278934767096	46.0444562378401	30.5695542264675	28.7871738527344	15.5664733163747	29.7869988159277	26.9174071920647	41.7693436941695	25.945992389851	43.2003342255663	40.4023817204774	28.1411367988214	37.1271805304858	21.5042764451523	34.6210118891703	27.9078144907585	18.9004301016771	31.2861930284436	33.4043757329093	39.1292200845592	39.7720832762199	44.3395424414152	29.3761177347759	21.8268200377125	34.2121106392227	28.7721644296979	34.2231400318791	21.2591875043287	31.1429970312738	37.5241859980882	21.6660681915252	42.4261985601299	34.1052669844412	36.1983458796498	34.2602566037834	29.7873435843993	19.1357073483673	42.1001880902556	40.9814260140467	42.3586005347512	44.0429974368334	19.1489914302988	36.276252666998	38.0590320728952	40.0330507695543
"AqFl2-03"	39.3795710338595	37.475913835402	0	40.305729865259	39.3263449508003	28.0097093830213	44.0673806422652	11.9769806259491	25.5044479481768	40.3593603155994	27.8449132930197	41.5369879194654	31.0818080791322	37.5092220037387	33.1462691886648	27.2363844785139	26.6544117056947	39.3173996226733	38.6175231753786	38.7019009198654	40.3305973944837	40.1486204707306	29.0964783494665	46.2179243026145	38.4242772940418	36.8122735633693	17.6673728817788	31.319926901463	32.6685162699938	14.282596656798	39.4364808805306	40.9947874354607	26.4300017988451	26.330925028599	43.1466050952666	25.7543836770762	32.6328184003847	17.4701459164034	25.3216108430304	36.2632257841558	31.3976689268064	43.0923453511993	37.6723154598424	38.0331889996213	18.073176495913	32.2782441905001	26.8602281582477	34.8761141701481	37.471614170336	17.2056953238577	38.7509747658551	43.7246500079409	17.2651433366182	34.3847130538897	33.9164714434634	37.5965227348888	37.4167060642792	26.7066904900502	37.6822206144935	16.2232991677903	25.1438195858142	36.7032766903192	40.3938937625191	33.5754785493344	35.664318533519	32.0680674364666	36.2135861746413	28.0084970370286	34.1741663719641	36.2109125904901	12.2260027828961	41.8782252183793
"AqFl2-04"	40.7253329071724	50.5219179604038	40.305729865259	0	36.8873710225546	52.1541166773206	70.2785960082946	48.8138903773954	45.0775451070252	42.2440569268651	54.8368777872744	31.6618057297653	59.2342877667296	57.4513597331819	37.691711267874	59.4641732242103	55.2999005824136	31.3279344208355	41.5506293319846	52.7406921196998	66.0464820137382	61.4853963341204	50.9326251420156	40.8061034950499	60.8553725558289	57.9070556709981	47.8348571543504	48.1303937551688	18.8171463599082	34.8589125964658	42.695662619775	50.3597951945372	44.3549903164691	50.8838574553182	32.6255735558025	43.7144636747553	41.6188508228258	47.8359082379692	55.213200403731	20.3833171871173	40.012027905149	32.1408259648212	46.7942431891383	55.273461035654	52.038209655538	53.7254199435424	42.3975545904693	38.2071041464867	34.4230487924438	31.8085472286428	51.1583363752498	34.6925992254125	45.9952600713057	26.3892275946192	45.5093959263011	47.5543544252544	45.6767189563509	44.3399074450228	21.517451590273	31.1795158626663	52.659753060443	42.3395099871471	33.4075762009389	49.8415999412656	61.971458198845	53.0073934985334	51.4512798485163	54.1074247808611	50.880277214815	46.1942089853896	42.8823793998256	30.9076214561644
"AqFl2-05"	38.3147582721091	29.2010877360055	39.3263449508003	36.8873710225546	0	32.2536546528976	63.8324843056073	43.256639751933	30.1682498443625	42.2327588489753	33.389128368711	20.9474912749271	47.9702795030393	51.5519539018722	35.1339943782218	45.266447651396	40.0443722894198	39.8989711148941	36.4391451455827	32.7696959752366	52.6352743114663	56.8671437185027	30.0863908379453	28.9890541364546	53.0888218409164	35.4770784413163	34.0371511648647	40.9011357761156	34.5898175692352	28.8412732444827	35.8498972112392	27.0543586451469	37.7936854974236	36.9914891164652	33.5585809732273	29.5930527205299	48.984163717492	47.8249542427799	36.156562155489	22.1548454917452	21.6369232023799	26.543865058477	38.4197999187532	33.3284998761787	40.4474762273954	45.9718917627802	42.8610499728329	39.2802166993894	46.2514777844538	30.1320208376988	27.2204138208185	24.7067184453639	32.4324937131389	22.0831141502415	24.2458497275698	40.5531912943828	45.0864980981989	29.5720453675069	33.1054911240368	33.3156380992749	48.145485647799	41.4735082366707	17.9128976778329	24.9868505804914	53.5353751079844	49.1112756356483	52.9624482048222	54.6415566409977	33.567162976994	44.0157534615074	42.4965825320854	32.1672166462147
"AqFl2-06"	45.031495754992	27.0192917767042	28.0097093830213	52.1541166773206	32.2536546528976	0	54.1380663686901	27.1648453397764	21.14312522981	48.1869914715689	10.414594276529	40.1751237564514	30.2906378901639	44.5631768153736	36.4514046098356	22.0472340183619	22.5394549988582	50.640526178806	42.4582572035528	27.8044819855949	40.0493430847388	49.3809522788876	10.3634924835675	39.0411858393027	46.2915421505909	24.6092059170507	18.3738837276802	41.1267166591155	45.4439550674251	20.923004474013	41.7127009897881	27.7044141082052	32.2888860245975	20.2678816172459	45.0797824939033	20.7120139844693	47.2563506223666	35.1378513824548	11.1384147914808	39.1041249681061	25.9597328798148	44.0920639524306	40.2248283900198	23.2195849803115	21.1146672539805	38.4997777407163	39.8069524680536	45.4681213504833	52.2841188104044	30.2873329787518	23.1093580138828	41.6045516577616	14.5110919638707	34.5418334995424	19.8372115212852	42.4456294741854	47.5346909577816	25.6138223239082	48.8258226169064	33.6362627972499	36.7802450018402	45.2021884576213	37.0126775294432	17.7643497050017	43.1551128346272	42.5787999782206	49.5655415147753	42.0530014060383	27.5634075235114	45.666551592962	31.8587033133844	44.1659458513994
"AqFl2-07"	42.6633553552395	49.5566077708844	44.0673806422652	70.2785960082946	63.8324843056073	54.1380663686901	0	38.1686643821637	44.6101676023613	42.157620657987	49.3749470322606	63.4035762842938	46.3165698093303	36.5107750490789	62.2188081881416	49.5942591166702	44.3849541849953	60.4800088307306	42.4734275795289	48.5698648734073	38.508066264196	31.2892566815891	55.4404641074385	74.4463094014345	15.9954380924832	43.2373612546505	41.3044782161827	35.1485205842798	64.4311926250014	51.7025881763491	43.6305824763905	54.6402199352903	36.1152700647409	44.3175523462349	71.0324683748631	53.1773154539094	45.4052611075812	40.600580011263	48.5220641173724	65.9348898696051	52.094539070346	60.7729773409766	38.6407206398397	50.6318690004896	40.118706440753	25.7292524826258	47.9376124801242	52.5025798935847	46.7706603736867	44.9754723365417	57.0767809427866	66.4512314896999	47.8213674058183	65.1339147097257	56.8609803471155	34.8456954353518	34.050598214459	43.2273888331535	59.5490036186202	44.4059600113095	35.6252537362323	43.6114970490902	62.4197512918842	53.3571948679084	38.7452216010945	43.6994706490018	33.8296394630914	41.4134416279435	43.370607367264	32.1880675107894	42.8928557958872	68.967088481007
"AqFl2-08"	40.7026650210512	35.3043326638539	11.9769806259491	48.8138903773954	43.256639751933	27.1648453397764	38.1686643821637	0	24.1848772815613	41.7273993328349	25.7586332635892	46.0701400802158	26.8959518625462	34.5282625751584	37.2392054198841	23.5611223989636	23.0335100595549	43.8073292330923	39.8570466486284	37.0450462295957	34.7186426202567	36.3173596610549	28.9718922747849	50.3498779060984	34.078753739432	32.9191202756723	16.6506442758268	30.536013742873	40.4639069963439	20.9282273424021	40.5329360585106	40.6478168972592	26.7104431471693	24.6094345301577	48.389082419782	27.3925297169304	34.81302440245	17.1346028147252	22.9615973504438	43.1204657626625	33.7012785398236	46.9270423967893	37.3584431785359	35.9481542641656	14.3814113146037	29.4193385672611	28.9443551966747	37.571215507168	41.1354787813493	22.2489773691579	38.4179059291613	47.983829205264	18.3627981276358	40.3569177209879	35.7084875767917	37.1869174451703	37.5401838332958	26.4828614521324	43.7302670161585	22.1144387209942	21.1406918309361	37.594608981996	44.6038799295392	33.499953796887	31.426885304549	30.6183087186285	35.1755838941623	25.7118544608288	32.3924834913015	36.3589760267537	14.8993023266546	47.1737546421635
"AqFl2-09"	30.2292729393296	18.372795740121	25.5044479481768	45.0775451070252	30.1682498443625	21.14312522981	44.6101676023613	24.1848772815613	0	33.1687338478062	20.3727193396552	33.1114561470447	25.4069939148385	32.3228232489613	30.7512343665757	26.6367944729648	21.8113845330883	39.6864247761449	28.4768752025757	18.7029562669353	31.6909844296292	37.0865085701953	19.4300953426242	36.4815916182802	34.9565876412452	19.9450000579356	19.3787623508827	31.8669164020134	38.7958396526365	20.1143771640176	27.8180607159659	20.5380734186243	21.8083198497458	18.9313214700356	38.2233861429862	18.7734628200298	33.9793293258219	27.6476463786705	21.663635162157	33.8738803534185	20.5496550055266	33.9149611578223	26.0152145973185	18.9996403256367	21.2393515445854	27.5139292290349	30.7005464283001	34.4455562165639	37.9001596120835	20.6623141889567	23.820362830766	35.0527284175403	19.8167009338291	29.6744061499959	20.2608223936032	28.7373686008466	33.2646349540724	18.1039814162812	39.0632821230289	25.2368157516779	26.2253869701412	30.0880786789453	31.276732469139	19.8029430357486	36.3348484146324	33.8664339251565	35.5564627072418	32.8059664672776	16.6720104706258	31.9139196968859	26.46127544411	37.0380452629188
"AqFl2-10"	13.6152621231197	35.7494327028191	40.3593603155994	42.2440569268651	42.2327588489753	48.1869914715689	42.157620657987	41.7273993328349	33.1687338478062	0	46.8075774152621	34.9444101599914	43.6392358779537	29.593457252599	39.0729117058834	50.4790667191364	42.5508433087697	33.4969320376533	14.2729086845544	35.2365834128	40.7140025010787	31.7606233206065	46.7186336099217	46.843015991432	30.9850201440069	40.2569467385412	40.5323605867383	33.5954710631616	40.2876343832598	38.4429820619186	16.1410149855429	36.2031336814608	25.3703698974681	40.4410488261832	40.7167900149288	37.9031898062587	26.1068594180281	39.7644017899117	48.3608491247444	38.7841428182544	32.2089240171764	29.86409284054	16.7341892104689	41.1122817152891	43.6630404710569	27.3791231523526	33.4722536677114	32.1668390221243	19.5890600381973	29.0667045820767	41.1609092586392	37.5959277576476	44.0539948330998	39.4163975367457	40.9989701393637	16.5776294875372	14.4519590146256	30.4603537054909	32.7591253163923	30.861686178783	35.7976576334318	17.0398649580459	35.6578769394555	40.9733773623856	42.5742103194459	37.4864893112498	23.6690946711065	39.7843571801285	31.1293593988507	16.7042210380808	38.4643070500925	39.1303492901801
"AqFl2-11"	43.999730283694	24.8988852320698	27.8449132930197	54.8368777872744	33.389128368711	10.414594276529	49.3749470322606	25.7586332635892	20.3727193396552	46.8075774152621	0	40.8192236631904	28.0948912246609	41.2472196614559	37.6228879184596	19.733803023474	18.9968600315154	50.7206391482745	41.4241601857552	26.6810614883825	35.1907226406744	45.5961777685526	10.5899577993676	41.4969636075385	41.8263087100799	19.986953567591	15.1574701798245	37.0397750309557	47.5776943885677	22.9111419922884	40.5170065724476	26.7665586269168	31.3482939551583	21.1013552825142	46.9702220516844	20.4330078247736	47.1963411156348	34.3362031241878	6.60966880353529	41.7684770859222	24.6320169785297	44.7406283737781	38.0820322077666	22.0589243797814	18.9526439852319	35.4425682603125	38.2011019089719	44.0741530850723	52.1778079862842	29.6752636182217	22.7009702685522	42.1662508444985	14.258017234527	37.7166471795833	21.5230205387837	39.9535779092388	45.4965160624603	22.9644627981231	48.9948526294498	32.8367514463878	33.6261295644952	43.3597591866111	37.4128576310009	14.9868452186394	38.175595495806	39.2434986771882	47.2334544304647	41.0604594714397	25.1981880810268	43.4236741082115	30.6082000343605	45.8716686466464
"AqFl2-12"	33.1626223584255	32.1287912654571	41.5369879194654	31.6618057297653	20.9474912749271	40.1751237564514	63.4035762842938	46.0701400802158	33.1114561470447	34.9444101599914	40.8192236631904	0	49.42657159545	47.0817056352221	30.7817441361254	49.6441244117374	42.086017718086	29.9850460348061	32.00837706467	36.8595435992631	50.9686826811368	52.3945026859701	37.6015257070029	27.3979027577457	52.1785214648171	40.6126768059521	38.7546126343234	38.256090650781	30.8631372375614	32.3158241068802	31.8241497461396	29.8370001492075	39.1331962111953	43.1379032334054	26.2190010388471	30.7474647754342	44.0937143552811	48.3681297284899	43.876160691021	20.2484070347339	20.2635200056062	19.4561673850342	35.1628263026257	39.4782031141422	46.194297524921	46.5166793425422	37.1972148387718	31.343297886484	39.3642680649065	28.010836037009	29.188441877661	16.8199801675228	39.458674863222	23.7924138485598	30.9572203762025	37.3248130404716	39.4591127436504	29.412470102171	23.3897045577019	30.8099567878099	46.7212570166798	32.8801216537111	12.9611014215551	30.0295208555788	50.3346970461687	44.1423980318533	47.8366869765461	53.3927925822596	34.7992323083973	40.0171777077994	42.1124077903942	24.7028384213231
"AqFl2-13"	44.3420410868171	34.6753628750867	31.0818080791322	59.2342877667296	47.9702795030393	30.2906378901639	46.3165698093303	26.8959518625462	25.4069939148385	43.6392358779537	28.0948912246609	49.42657159545	0	24.9443005685903	31.7490581860744	16.9393350911733	19.1085461831972	45.8144347623708	42.5845711987351	33.2488038194199	20.6209019792749	29.8614658251511	27.9755683404731	44.1676080432957	40.2936058936737	32.5080660486643	29.6603937332455	41.1590048366677	49.2831791546695	31.0491157786163	42.4731873080787	36.3405140921301	33.045320631442	30.1274468130346	44.7419956079575	23.4787186022391	34.3461541464056	24.8796902055572	27.7820906417396	50.4469669152546	35.9146136338926	49.0853516027647	37.1966867255952	32.4498935800342	26.963889652128	35.0118827631518	28.4198852348007	38.8123060348526	47.0130465054217	33.1943686725194	34.4280220343006	47.718550163335	30.6852197932302	44.1937486335546	36.1620501622213	40.5224997986212	42.1266485051889	29.5668917922299	53.3841512568128	36.6419061376399	20.0191374238992	35.7520999760208	48.045017838559	32.5123826672308	27.8599783895698	26.7964906392557	34.7189407952303	22.2689429286319	28.6852928277672	42.8604568211425	26.4984514658407	45.6170159949917
"AqFl2-14"	34.0312687201469	38.5843852362695	37.5092220037387	57.4513597331819	51.5519539018722	44.5631768153736	36.5107750490789	34.5282625751584	32.3228232489613	29.593457252599	41.2472196614559	47.0817056352221	24.9443005685903	0	35.1153389277437	35.5710733106381	29.1060094270068	38.5429289652161	32.9019786175022	38.0745460836278	17.5379577666607	10.24745675778	42.6070348183319	49.5047878641163	29.9083950871938	38.7419699189335	37.3131145936773	33.8506621552422	48.9190658961509	39.5250831073847	33.8229987215124	40.2470449260537	31.4341592213438	40.276032942192	44.7936919964786	32.2331072695038	26.2666677577986	30.6812791759687	42.2020314132494	51.860867999443	36.729816218629	44.6424731818614	27.4199067796146	41.5723649623095	38.4827018199412	29.1842543189408	23.2333427682102	30.9441087004797	35.5818655502076	32.8005640540178	39.5626930181393	45.9629325212831	42.3560988637562	48.6190917324162	44.6015751989547	29.3868262424726	27.2286670365954	30.1186653820025	47.1229892046529	35.104856715827	20.4070148021965	20.874312604616	47.0313474479995	39.836371259556	21.6863117388363	19.2352864369843	18.5236944054049	24.951536549031	30.7003597718098	30.2306231855278	30.647720197401	44.9626142680152
"AqFl2-15"	40.2975678762952	37.1877197038477	33.1462691886648	37.691711267874	35.1339943782218	36.4514046098356	62.2188081881416	37.2392054198841	30.7512343665757	39.0729117058834	37.6228879184596	30.7817441361254	31.7490581860744	35.1153389277437	0	34.3752989972246	31.1862602946387	25.150821609042	39.0960490124018	40.0429071209257	39.8367162953805	41.9949124008002	32.281989281233	22.3796765740235	52.7563744598117	43.9895115252572	36.6006119516978	42.1464792264742	28.8913422454994	26.2394311760049	39.4414002261418	36.3636674565274	38.5726469317981	41.4401279357087	17.2870813414508	19.3124124313177	31.7703802582571	34.5821766892361	39.0492683066909	30.9601179414329	27.8385274170578	33.4645650108581	38.2880639406909	41.106062228356	40.5312197935012	45.979536596495	20.947539739655	24.5950975560424	38.9660455982539	25.858630989018	31.2597552682772	26.5267697372664	35.9718614039365	26.9184848107416	34.8790688627823	42.6550177652421	41.9838082737733	30.3505666587578	34.1691483303508	29.2150277433569	33.5103941103995	29.5322147945025	31.2292678253199	32.5139300184326	38.4543861390109	28.907200052112	39.2903537466153	36.185981805823	35.8510895912788	44.42544704293	29.1247634447451	20.5246039027309
"AqFl2-16"	49.8026529830991	35.2858305728998	27.2363844785139	59.4641732242103	45.266447651396	22.0472340183619	49.5942591166702	23.5611223989636	26.6367944729648	50.4790667191364	19.733803023474	49.6441244117374	16.9393350911733	35.5710733106381	34.3752989972246	0	14.1892434383689	50.0553712425048	47.871846777749	36.3834716923251	28.9550358352348	39.6958425080949	20.2771126922271	44.7669635637549	44.1654987292608	32.1214920310653	23.0047072633503	40.699905159392	49.5037386672039	27.4799592498475	47.4697223661508	38.2585746233663	36.4327965371595	29.3962406250689	47.6839608208223	22.7897815457207	42.6888219192121	26.6180749011031	18.1614777066984	49.5613226862096	35.3491752217975	52.2786657647771	43.139982517308	32.7234521056657	21.7197854814225	38.9862110508562	32.834382725434	42.1158634163699	53.3125748081487	32.8052056448744	32.8560547898163	48.575806544268	22.6211216134237	43.9871996289428	34.6324183719432	45.998479235114	48.5551244182869	30.4537716220881	54.0366036304426	35.5533183607203	25.7123406976195	43.250525747104	47.6362164805241	28.8525968305302	30.5356483071451	31.3240063896985	43.1720946118001	31.1689522975552	33.2775278210802	48.1939701094438	25.701719976544	47.8805091987834
"AqFl2-17"	42.298343949623	28.9800232004605	26.6544117056947	55.2999005824136	40.0443722894198	22.5394549988582	44.3849541849953	23.0335100595549	21.8113845330883	42.5508433087697	18.9968600315154	42.086017718086	19.1085461831972	29.1060094270068	31.1862602946387	14.1892434383689	0	43.2810657429644	40.2031997017647	32.040400005056	22.9170460732179	33.4325316125757	20.9758726896541	41.558805426009	37.675121101328	26.6069458976705	19.5333096771763	31.6293962015185	45.6310484551341	26.4527023203956	39.9978494647417	32.2451765489006	32.7248559459909	29.1244404732887	42.9690415957983	18.7762738243075	39.4556585647227	27.2279034484959	20.0826183228362	44.9572537146471	27.1871274678629	45.0023535079578	35.6804514108979	30.0322920268048	23.3304443413759	34.083456998829	26.6901097370238	34.5271210848636	47.4549707309716	26.7983440339069	25.4992191002878	41.3159582227115	23.4160346569072	40.970942292613	32.0140282270279	38.211647932576	40.3298982668123	22.7282188779502	46.3587185526717	29.5819229786869	21.4772084687233	34.6617451592068	40.1211426251338	22.859181761825	23.1565999991704	24.1617523567587	37.4453906120685	31.7105072027361	27.0750692222048	40.7233209643261	23.8798578487158	42.8375367935472
